2	4.82	s1
4.82	13.66	1
13.66	17.02	2a
17.02	20.44	2b
20.44	24.08	2c
24.08	29.14	3a
29.14	32.14	3b
32.14	34.94	3c
34.94	37.76	3d
37.76	40.42	4a
40.42	43	4b
43	45.24	4c
45.24	48.2	5a
48.2	50.74	5b
50.74	52.62	5c
52.62	56.76	5d
56.76	59.4	5e
59.4	61.94	5f
61.94	64.9	6a
64.9	68.34	6b
68.34	70.68	6c
70.68	73.48	6d
73.48	76.38	7a
76.38	79.22	7b
79.22	82.04	7c
82.04	83.84	8a
83.84	86.48	8b
86.48	90.46	8c
90.46	92.64	9a
92.64	94.8	9b
94.8	99.7	9c
99.7	102.72	10a
102.72	105.24	10b
105.24	107.94	10c
107.94	110.88	11a
110.88	114.48	11b
114.48	123.04	11c
123.04	128.6	12a
128.6	132.12	12b
132.12	135.3	13a
135.3	138.42	13b
138.42	141.54	13c
141.54	144.4	14a
144.4	147.1	14b
147.1	149.82	14c
149.82	152.9	15a
152.9	156.02	15b
156.02	159.02	15c
159.02	161.66	16a
161.66	163.94	16b
163.94	166.58	16c
166.58	168.12	16d
168.12	174.62	17a
174.62	179.62	17b
179.62	187.06	17c
187.06	193.86	17d
193.86	196.92	s2
196.92	200.16	18a
200.16	203.76	18b
203.76	208.66	18c
208.66	218.06	18d
218.06	219.52	19a
219.52	219.64	19b
219.64	222.32	19c
222.32	225.44	19d
225.44	231.12	19e
231.12	234.06	20a
234.06	237.74	20b
237.74	239.56	20c
239.56	240.58	20d
240.58	242.16	20e
242.16	244.92	20f
244.92	247.68	20g
247.68	251.8	20h
251.8	254.72	21a
254.72	259.42	21b
259.42	262.4	21c
262.4	263.8	21d
263.8	265.26	21e
265.26	271.28	22a
271.28	273.64	22b
273.64	275.02	23a
275.02	276.96	23b
276.96	280.36	23c
280.36	280.36	23d
280.36	285.72	23e
285.72	288.24	24a
288.24	291.82	24b
291.82	294.88	24c
294.88	298.78	24d
298.78	302.34	25a
302.34	305.98	25b
305.98	307.76	25c
307.76	312.44	25d
