0	2.34	s1
2.34	4.72	1a
4.72	9	1b
9	12.76	2
12.76	15.1	3a
15.1	18.48	3b
18.48	21.34	3c
21.34	26.68	4
26.68	28.44	5a
28.44	32.04	5b
32.04	35.6	6-9a
35.6	39	6-9b
39	41.24	6-9c
41.24	43.1	6-9d
43.1	46.56	6-9e
46.56	52.18	6-9f
52.18	55.12	10a
55.12	60.26	10b
60.26	61.48	11a
61.48	63.44	11b
63.44	65.7	11c
65.7	67.44	12a
67.44	69.42	12b
69.42	70.88	12c
70.88	72.96	13a
72.96	77.9	13b
77.9	80.94	13c
80.94	83.46	14a
83.46	86.92	14b
86.92	89.42	14c
89.42	92.84	14d
92.84	98.84	15a
98.84	104.04	15b
104.04	105.94	15c
105.94	108.82	15d
108.82	112.84	16
112.84	118.68	17a
118.68	125.3	17b
125.3	126.44	18a
126.44	128.68	18b
128.68	131.56	18c
131.56	133.82	18d
133.82	136.96	18e
136.96	140.3	18f
140.3	142.88	s2
142.88	154.44	19a
154.44	156.78	19b
156.78	159.88	20a
159.88	160.24	20b
160.24	161.4	20c
161.4	163.06	20d
163.06	164.8	20e
164.8	166.48	21a
166.48	167.98	21b
167.98	169.92	21c
169.92	171.56	21d
171.56	172.46	21e
172.46	173.48	21f
173.48	175.38	21g
175.38	176.78	21h
176.78	178.88	21i
178.88	181.06	21j
181.06	181.96	21k
181.96	182.78	21l
182.78	184.02	22a
184.02	185.94	22b
185.94	187.52	22c
187.52	189.64	22d
189.64	192.26	22e
192.26	193.42	22f
193.42	196.24	22g
196.24	202.02	23a
202.02	203.72	23b
203.72	206.24	23c
206.24	209.56	23d
209.56	212.3	24
212.3	213.56	25a
213.56	215.66	25b
215.66	216.92	25c
216.92	219.96	25d
219.96	224.4	25e
224.4	225.92	26a
225.92	226.78	26b
226.78	229.54	26c
229.54	231.54	26d
231.54	233.4	26e
233.4	238.02	27
238.02	242.1	28a
242.1	245	28b
245	249.1	29a
249.1	250.48	29b
250.48	251.54	29c
251.54	254.58	29d
254.58	259.36	29e
259.36	260	30a
260	262.8	30b
262.8	264.72	30c
264.72	266.9	30d
266.9	269.64	30e
269.64	274.34	31a
274.34	278.2	31b
278.2	281.52	31c
281.52	282.38	32-34a
282.38	285.2	32-34b
285.2	289.34	32-34c
289.34	291.36	32-34d
291.36	295.62	32-34e
295.62	297.76	32-34f
297.76	300.5	32-34g
300.5	304.08	32-34h
304.08	310.64	32-34i
310.64	315.84	32-34j
315.84	317.4	s3
317.4	322.82	35
322.82	325.72	36a
325.72	326.96	36b
326.96	328.06	36c
328.06	330.14	36d
330.14	332.4	37a
332.4	335.36	37b
335.36	338.32	38a
338.32	339.32	38b
339.32	341.04	38c
341.04	341.88	38d
341.88	342.64	38e
342.64	344.26	38f
344.26	345.34	39a
345.34	345.8	39b
345.8	346.74	39c
346.74	349.08	39d
349.08	350.86	39e
350.86	354.18	39f
354.18	358.86	40a
358.86	362.72	40b
362.72	367.34	41a
367.34	369.64	41b
369.64	372.68	42a
372.68	375.44	42b
375.44	377.9	42c
377.9	380.6	42d
380.6	384.96	43-44a
384.96	386.96	43-44b
386.96	389.48	43-44c
389.48	392.76	43-44d
392.76	395.1	43-44e
395.1	397.06	43-44f
397.06	401.2	45a
401.2	408.08	45b
408.08	410.38	45c
410.38	414.2	45d
414.2	415.74	46a
415.74	418.92	46b
418.92	420.48	46c
420.48	422.76	46d
422.76	425.6	47a
425.6	426.6	47b
426.6	428.8	47c
428.8	431.1	47d
431.1	432.82	48a
432.82	434.6	48b
434.6	436.02	48c
436.02	438.06	48d
438.06	443.32	48e
443.32	444.74	49a
444.74	445.66	49b
445.66	447.62	49c
447.62	449.58	49d
449.58	451.1	50a
451.1	457.98	50b
457.98	462.02	50c
462.02	472.32	51
