0	1.74	s1
1.74	5.12	1a
5.12	7.06	1b
7.06	11.28	1c
11.28	14.78	2a
14.78	17.92	2b
17.92	19.04	3-4a
19.04	23.72	3-4b
23.72	26.7	3-4c
26.7	30.52	3-4d
30.52	33.76	3-4e
33.76	37.9	3-4f
37.9	40.7	s2
40.7	42.66	5a
42.66	49.72	5b
49.72	54.8	5c
54.8	59.08	6a
59.08	62.62	6b
62.62	64.96	6c
64.96	65.56	6d
65.56	75.62	6e
75.62	86.72	7a
86.72	97.1	7b
97.1	99.52	7c
99.52	100.12	7d
100.12	101.74	7e
101.74	106.92	8a
106.92	111.52	8b
111.52	116.04	8c
116.04	122.16	8d
122.16	129.88	9a
129.88	131.98	9b
131.98	135.36	9c
135.36	140.28	9d
140.28	146.18	10a
146.18	153.58	10b
153.58	158.2	10c
158.2	159.34	11a
159.34	164.88	11b
164.88	167.7	s3
167.7	179.24	11c
179.24	183.42	11d
183.42	185.34	12a
185.34	188.02	12b
188.02	188.64	12c
188.64	196.88	12d
196.88	199.24	12e
199.24	204.26	13a
204.26	210.48	13b
210.48	216.9	14
216.9	219.36	s4
219.36	221.3	15a
221.3	226.14	15b
226.14	230.86	15c
230.86	233.34	15d
233.34	235.94	15e
235.94	238.64	16a
238.64	242.72	16b
242.72	248.86	16c
248.86	251.4	17a
251.4	254.1	17b
254.1	258.62	17c
258.62	261.82	17d
261.82	265.06	17e
265.06	269.38	17f
269.38	272.28	17g
272.28	275.12	18a
275.12	281.48	18b
281.48	282.88	18c
282.88	287.54	18d
287.54	291	18e
291	295.14	18f
295.14	298.58	18g
298.58	302.88	19-20a
302.88	307.6	19-20b
307.6	312.76	19-20c
312.76	317.78	19-20d
317.78	320.58	19-20e
320.58	323.44	s5
323.44	327.1	21a
327.1	328.12	21b
328.12	331	21c
331	334.2	21d
334.2	337.02	21e
337.02	339.16	22a
339.16	340.76	22b
340.76	347.06	22c
347.06	350.6	22d
350.6	353.06	22e
353.06	355.34	s6
355.34	357.3	23a
357.3	363.68	23b
363.68	366.14	23c
366.14	368.26	23d
368.26	372.26	23e
372.26	375.02	23f
375.02	377.48	24a
377.48	381.28	24b
381.28	384.54	24c
384.54	389.58	25a
389.58	393.52	25b
393.52	396.74	25c
396.74	399.5	25d
399.5	405.1	26a
405.1	406.48	26b
406.48	410.28	26c
410.28	414.9	27a
414.9	418.14	27b
418.14	421.1	28a
421.1	424.08	28b
424.08	428.9	28c
428.9	432.82	28d
432.82	435.76	28e
435.76	438.42	29a
438.42	441.02	29b
441.02	442.42	29c
442.42	444.78	29d
444.78	448.44	30a
448.44	449.82	30b
449.82	453.16	30c
453.16	454.02	30d
454.02	456.46	30e
456.46	459.66	31a
459.66	463.28	31b
463.28	465.4	31c
465.4	468.08	31d
468.08	472.18	32a
472.18	473.3	32b
473.3	475.12	32c
475.12	478.36	32d
478.36	481.78	33a
481.78	486.4	33b
486.4	491.26	34a
491.26	494	34b
494	497.34	34c
497.34	501.02	35a
501.02	504.88	35b
504.88	510.52	35c
