\id MAT
\c 1
\level phrase
\separators .?!:;,।
3	5.1	s1
5.1	14	1
14	17.24	2a
17.24	20.04	2b
20.04	24.28	2c
24.28	28.06	3a
28.06	30.68	3b
30.68	33.52	3c
33.52	36.14	3d
36.14	38.58	4a
38.58	40.06	4b
40.06	43.86	4c
43.86	46.9	5a
46.9	49.62	5b
49.62	52	5c
52	59.06	5d
59.06	61.68	5e
61.68	64.54	6a
64.54	67.78	6b
67.78	69.64	6c
69.64	72.86	6d
72.86	75.84	7a
75.84	78.42	7b
78.42	80.56	7c
80.56	82.44	8a
82.44	86.16	8b
86.16	88.06	8c
88.06	91.32	9a
91.32	94.36	9b
94.36	96.84	9c
96.84	99.6	10a
99.6	102.2	10b
102.2	105.3	10c
105.3	108.02	11a
108.02	111.76	11b
111.76	120.1	11c
120.1	125.6	12a
125.6	128.28	12b
128.28	131.16	13a
131.16	134.3	13b
134.3	137.42	13c
137.42	140.28	14a
140.28	143.14	14b
143.14	145.24	14c
145.24	148.86	15a
148.86	151.5	15b
151.5	154.38	15c
154.38	156.92	16a
156.92	160.18	16b
160.18	162.6	16c
162.6	164.44	16d
164.44	170.28	17a
170.28	174.88	17b
174.88	182.8	17c
182.8	190.64	17d
190.64	192.76	s2
192.76	196.1	18a
196.1	199.44	18b
199.44	204.32	18c
204.32	214.2	18d
214.2	216.5	19a
216.5	217.04	19b
217.04	218.68	19c
218.68	222.54	19d
222.54	228.86	19e
228.86	232.2	20a
232.2	236.16	20b
236.16	238.36	20c
238.36	239.06	20d
239.06	239.74	20e
239.74	242.28	20f
242.28	245.24	20g
245.24	248.84	20h
248.84	251.2	21a
251.2	254.84	21b
254.84	258.38	21c
258.38	260.02	21d
260.02	261.68	21e
261.68	268.88	22a
268.88	270.6	22b
270.6	271.64	23a
271.64	273.76	23b
273.76	275.34	23c
275.34	278.54	23d
278.54	278.54	23e
278.54	284.36	23f
284.36	286.94	24a
286.94	290.48	24b
290.48	293.24	24c
293.24	297.02	24d
297.02	301.94	25a
301.94	305.46	25b
305.46	308.2	25c
308.2	311.76	25d
