\id JHN
\c 1
\level phrase
\separators .?!:;,।
0	2.96	s1
2.96	5.72	1a
5.72	7.92	1b
7.92	10.62	1c
10.62	15.18	2
15.18	18.28	3a
18.28	22.96	3b
22.96	26.8	3c
26.8	33.58	4
33.58	36.14	5a
36.14	39.62	5b
39.62	45.36	6-9a
45.36	49.52	6-9b
49.52	51.86	6-9c
51.86	54.36	6-9d
54.36	58.86	6-9e
58.86	65.18	6-9f
65.18	69.94	10a
69.94	71.88	10b
71.88	75.2	10c
75.2	77.76	11a
77.76	79.86	11b
79.86	82.36	11c
82.36	84.32	12a
84.32	89.66	12b
89.66	91.76	13a
91.76	96.56	13b
96.56	102.16	13c
102.16	104.66	14a
104.66	112.08	14b
112.08	114.7	14c
114.7	118.08	14d
118.08	122.04	15a
122.04	126.34	15b
126.34	131.9	15c
131.9	133.84	15d
133.84	137.84	15e
137.84	142.32	16a
142.32	147.5	16b
147.5	155.76	17a
155.76	163.12	17b
163.12	164.6	18a
164.6	166.28	18b
166.28	169.98	18c
169.98	172.14	18d
172.14	175.34	18e
175.34	179.08	18f
179.08	182.56	s2
182.56	194.6	19a
194.6	198.26	19b
198.26	202.26	20a
202.26	202.72	20b
202.72	203.56	20c
203.56	205.28	20d
205.28	207.44	20e
207.44	209.04	21a
209.04	210.54	21b
210.54	212.56	21c
212.56	214.34	21d
214.34	215.12	21e
215.12	215.88	21f
215.88	217.6	21g
217.6	219.38	21h
219.38	222.92	21i
222.92	226	21j
226	226.68	21k
226.68	227.92	21l
227.92	229.48	22a
229.48	231.1	22b
231.1	232.36	22c
232.36	235.36	22d
235.36	237.92	22e
237.92	238.78	22f
238.78	241.36	22g
241.36	248.12	23a
248.12	250.72	23b
250.72	253.56	23c
253.56	256.84	23d
256.84	260.48	24
260.48	261.74	25a
261.74	263.52	25b
263.52	265.06	25c
265.06	268.32	25d
268.32	273.6	25e
273.6	274.88	26a
274.88	275.7	26b
275.7	279.16	26c
279.16	281.92	26d
281.92	284.44	26e
284.44	286.64	27a
286.64	290.84	27b
290.84	295.32	28a
295.32	298.22	28b
298.22	304.3	29a
304.3	305.68	29b
305.68	306.46	29c
306.46	309.52	29d
309.52	314.84	29e
314.84	316.52	30a
316.52	318.86	30b
318.86	321.6	30c
321.6	325.12	30d
325.12	328.4	30e
328.4	333.94	31a
333.94	338.36	31b
338.36	343.04	31c
343.04	345.62	32-34a
345.62	349.42	32-34b
349.42	354	32-34c
354	355.6	32-34d
355.6	359.98	32-34e
359.98	361.66	32-34f
361.66	364.98	32-34g
364.98	369.72	32-34h
369.72	376.44	32-34i
376.44	382.5	32-34j
382.5	386.34	s3
386.34	393.82	35
393.82	398.12	36a
398.12	399.92	36b
399.92	400.32	36c
400.32	402.62	36d
402.62	405.08	37a
405.08	408.38	37b
408.38	412.12	38a
412.12	413.5	38b
413.5	415.46	38c
415.46	416.44	38d
416.44	416.8	38e
416.8	419.02	38f
419.02	420.4	39a
420.4	420.92	39b
420.92	421.86	39c
421.86	423.98	39d
423.98	427.14	39e
427.14	432.94	40a
432.94	436.46	40b
436.46	442.14	41a
442.14	444.04	41b
444.04	447.66	42a
447.66	450.68	42b
450.68	452.98	42c
452.98	457.62	42d
457.62	460.12	43-44a
460.12	462.78	43-44b
462.78	465.42	43-44c
465.42	468.7	43-44d
468.7	470.68	43-44e
470.68	473.6	43-44f
473.6	477.56	45a
477.56	484.7	45b
484.7	487.78	45c
487.78	491.8	45d
491.8	494.44	46a
494.44	497.92	46b
497.92	499.5	46c
499.5	502.66	46d
502.66	507.2	47a
507.2	507.4	47b
507.4	510.14	47c
510.14	511.88	47d
511.88	513.74	48a
513.74	516	48b
516	517.52	48c
517.52	519.96	48d
519.96	524.6	48e
524.6	526.1	49a
526.1	526.84	49b
526.84	529.04	49c
529.04	531.46	49d
531.46	532.9	50a
532.9	539.52	50b
539.52	543.82	50c
543.82	552.88	51
